event_id,sport_id,league_id,league_name,home,away,starts,event_type,period,moneyline_home,moneyline_draw,moneyline_away,spread_handicap,spread_home,spread_away,total_points,total_over,total_under,home_team_over,home_team_under,away_team_over,away_team_under,is_open
1614303672,7,889,NFL,Detroit Lions,Chicago Bears,2025-09-14T17:00:00,prematch,1st Half,1.49,,2.77,-3.0,1.833,2.07,23.5,1.97,1.9,1.909,1.961,1.84,2.04,True
1614303672,7,889,NFL,Detroit Lions,Chicago Bears,2025-09-14T17:00:00,prematch,1st Quarter,1.552,,2.55,-0.5,1.917,1.952,9.5,1.917,1.934,1.847,2.01,1.735,2.16,True
1614305695,7,889,NFL,Tennessee Titans,Los Angeles Rams,2025-09-14T17:00:00,prematch,Game,3.13,,1.4,6.0,1.869,2.02,42.0,1.961,1.909,2.51,1.555,2.19,1.719,True
1614305695,7,889,NFL,Tennessee Titans,Los Angeles Rams,2025-09-14T17:00:00,prematch,1st Half,2.68,,1.52,3.0,1.99,1.9,21.0,1.9,1.97,2.03,1.847,2.18,1.735,True
1614305695,7,889,NFL,Tennessee Titans,Los Angeles Rams,2025-09-14T17:00:00,prematch,1st Quarter,2.41,,1.613,0.5,1.826,2.06,7.5,2.0,1.854,1.793,2.08,2.07,1.806,True
1614303671,7,889,NFL,Dallas Cowboys,New York Giants,2025-09-14T17:00:00,prematch,Game,1.384,,3.21,-6.0,1.97,1.917,44.5,2.0,1.877,1.709,2.2,2.19,1.719,True
1614303671,7,889,NFL,Dallas Cowboys,New York Giants,2025-09-14T17:00:00,prematch,1st Half,1.465,,2.86,-2.5,1.684,2.29,21.5,1.917,1.952,1.757,2.15,1.97,1.892,True
1614303671,7,889,NFL,Dallas Cowboys,New York Giants,2025-09-14T17:00:00,prematch,1st Quarter,1.502,,2.69,-0.5,1.892,1.98,7.5,1.952,1.9,1.775,2.1,1.869,1.99,True
1614302121,7,889,NFL,New York Jets,Buffalo Bills,2025-09-14T17:00:00,prematch,Game,3.57,,1.324,6.5,1.925,1.961,46.0,1.961,1.909,1.787,2.08,1.98,1.877,True
1614302121,7,889,NFL,New York Jets,Buffalo Bills,2025-09-14T17:00:00,prematch,1st Half,2.85,,1.467,4.0,1.847,2.05,22.5,1.892,1.97,1.884,1.99,1.934,1.934,True
